date,company,symbol,open,close
2025-11-13,Saudi Aramco,2222.SR,25.53,25.53
2025-11-13,Apple,AAPL,274.11,272.95
2025-11-13,Amazon,AMZN,243.05,237.58
2025-11-13,Broadcom,AVGO,351.58,339.98
2025-11-13,Alphabet (Google),GOOGL,282.34,278.57
2025-11-13,JPMorgan Chase,JPM,319.23,309.48
2025-11-13,Eli Lilly,LLY,1008.61,1021.37
2025-11-13,Meta Platforms,META,613.07,609.89
2025-11-13,Microsoft,MSFT,509.36,502.35
2025-11-13,NVIDIA,NVDA,191.05,186.86
2025-11-13,Tencent,TCEHY,85.94,83.34
2025-11-13,Tesla,TSLA,423.13,401.99
2025-11-13,TSMC,TSM,289.17,282.2
2025-11-13,Walmart,WMT,103.59,102.54
2025-11-14,Apple,AAPL,271.05,272.41
2025-11-14,Amazon,AMZN,235.06,234.69
2025-11-14,Broadcom,AVGO,331.47,342.46
2025-11-14,Alphabet (Google),GOOGL,271.41,276.41
2025-11-14,JPMorgan Chase,JPM,307.51,303.61
2025-11-14,Eli Lilly,LLY,1009.0,1025.28
2025-11-14,Meta Platforms,META,601.79,609.46
2025-11-14,Microsoft,MSFT,497.3,509.23
2025-11-14,NVIDIA,NVDA,182.86,190.17
2025-11-14,Tencent,TCEHY,81.65,81.87
2025-11-14,Tesla,TSLA,386.3,404.35
2025-11-14,TSMC,TSM,275.91,284.82
2025-11-14,Walmart,WMT,100.2,102.48
2025-11-16,Saudi Aramco,2222.SR,25.51,25.25
2025-11-17,Saudi Aramco,2222.SR,25.25,25.51
2025-11-17,Apple,AAPL,268.82,267.46
2025-11-17,Amazon,AMZN,233.25,232.87
2025-11-17,Broadcom,AVGO,339.82,342.65
2025-11-17,Alphabet (Google),GOOGL,285.78,285.02
2025-11-17,JPMorgan Chase,JPM,304.0,300.37
2025-11-17,Eli Lilly,LLY,1003.72,1021.7
2025-11-17,Meta Platforms,META,609.04,602.01
2025-11-17,Microsoft,MSFT,507.5,506.54
2025-11-17,NVIDIA,NVDA,185.97,186.6
2025-11-17,Tencent,TCEHY,81.18,80.93
2025-11-17,Tesla,TSLA,398.74,408.92
2025-11-17,TSMC,TSM,281.44,282.01
2025-11-17,Walmart,WMT,102.58,102.95
